"gID";"T";"x";"y";"itemsInCraneID"
0;15429.0;945;95;null
0;15439.0;945;95;1356
0;15461.0;835;85;1356
0;15471.0;835;85;null
0;15493.0;945;95;null
0;15503.0;945;95;1293
0;15515.0;1005;5;1293
0;15525.0;1005;5;null
0;15593.0;665;5;null
0;15603.0;665;5;2470
0;15671.0;1005;5;2470
0;15681.0;1005;5;null
0;15717.0;825;5;null
0;15727.0;825;5;2631
0;15747.0;925;15;2631
0;15757.0;925;15;null
0;15777.0;825;5;null
0;15787.0;825;5;2623
0;15823.0;1005;5;2623
0;15833.0;1005;5;null
0;16035.0;-5;5;null
0;16045.0;-5;5;2645
0;16093.0;235;5;2645
0;16103.0;235;5;null
0;16151.0;-5;5;null
0;16161.0;-5;5;2646
0;16327.0;825;5;2646
0;16337.0;825;5;null
0;16503.0;-5;5;null
0;16513.0;-5;5;2647
0;16575.0;305;5;2647
0;16585.0;305;5;null
0;16665.0;705;65;null
0;16675.0;705;65;2487
0;16735.0;1005;5;2487
0;16745.0;1005;5;null
0;16789.0;785;5;null
0;16799.0;785;5;2519
0;16933.0;115;15;2519
0;16943.0;115;15;null
0;17077.0;785;5;null
0;17087.0;785;5;583
0;17171.0;365;15;583
0;17181.0;365;15;null
0;17265.0;785;5;null
0;17275.0;785;5;446
0;17319.0;1005;5;446
0;17329.0;1005;5;null
0;17471.0;295;25;null
0;17481.0;295;25;2366
0;17531.0;545;35;2366
0;17541.0;545;35;null
0;17591.0;295;25;null
0;17601.0;295;25;2278
0;17743.0;1005;5;2278
0;17753.0;1005;5;null
0;17889.0;325;15;null
0;17899.0;325;15;1258
0;17927.0;465;25;1258
0;17937.0;465;25;null
0;17965.0;325;15;null
0;17975.0;325;15;983
0;18111.0;1005;5;983
0;18121.0;1005;5;null
0;18137.0;925;15;null
0;18147.0;925;15;2631
0;18163.0;1005;5;2631
0;18173.0;1005;5;null
0;18209.0;825;5;null
0;18219.0;825;5;2646
0;18255.0;1005;5;2646
0;18265.0;1005;5;null
0;18423.0;215;25;null
0;18433.0;215;25;1955
0;18591.0;1005;5;1955
0;18601.0;1005;5;null
0;18755.0;235;5;null
0;18765.0;235;5;2645
0;18903.0;925;15;2645
0;18913.0;925;15;null
0;19051.0;235;5;null
0;19061.0;235;5;2642
0;19215.0;1005;5;2642
0;19225.0;1005;5;null
0;19263.0;815;65;null
0;19273.0;815;65;2123
0;19345.0;455;75;2123
0;19355.0;455;75;null
0;19427.0;815;65;null
0;19437.0;815;65;2117
0;19441.0;835;75;2117
0;19451.0;835;75;null
0;19455.0;815;65;null
0;19465.0;815;65;1193
0;19503.0;1005;5;1193
0;19513.0;1005;5;null
0;19657.0;285;15;null
0;19667.0;285;15;2145
0;19773.0;815;25;2145
0;19783.0;815;25;null
0;19889.0;285;15;null
0;19899.0;285;15;1401
0;20043.0;1005;5;1401
0;20053.0;1005;5;null
0;20161.0;465;45;null
0;20171.0;465;45;2256
0;20237.0;135;55;2256
0;20247.0;135;55;null
0;20313.0;465;45;null
0;20323.0;465;45;1847
0;20351.0;325;55;1847
0;20361.0;325;55;null
0;20389.0;465;45;null
0;20399.0;465;45;1237
0;20483.0;885;55;1237
0;20493.0;885;55;null
0;20577.0;465;45;null
0;20587.0;465;45;1021
0;20695.0;1005;5;1021
0;20705.0;1005;5;null
0;20825.0;405;5;null
0;20835.0;405;5;2617
0;20859.0;285;15;2617
0;20869.0;285;15;null
0;20893.0;405;5;null
0;20903.0;405;5;2602
0;21023.0;1005;5;2602
0;21033.0;1005;5;null
0;21097.0;685;75;null
0;21107.0;685;75;2041
0;21179.0;325;85;2041
0;21189.0;325;85;null
0;21261.0;685;75;null
0;21271.0;685;75;1988
0;21391.0;85;85;1988
0;21401.0;85;85;null
0;21521.0;685;75;null
0;21531.0;685;75;1876
0;21595.0;1005;5;1876
0;21605.0;1005;5;null
0;21679.0;635;5;null
0;21689.0;635;5;2634
0;21763.0;1005;5;2634
0;21773.0;1005;5;null
0;21889.0;425;75;null
0;21899.0;425;75;2505
0;21925.0;555;85;2505
0;21935.0;555;85;null
0;21961.0;425;75;null
0;21971.0;425;75;1053
0;22087.0;1005;5;1053
0;22097.0;1005;5;null
0;22113.0;925;5;null
0;22123.0;925;5;2626
0;22139.0;1005;5;2626
0;22149.0;1005;5;null
0;22167.0;915;65;null
0;22177.0;915;65;1672
0;22181.0;935;75;1672
0;22191.0;935;75;null
0;22195.0;915;65;null
0;22205.0;915;65;578
0;22223.0;1005;5;578
0;22233.0;1005;5;null
0;22361.0;365;5;null
0;22371.0;365;5;2636
0;22499.0;1005;5;2636
0;22509.0;1005;5;null
0;22679.0;155;45;null
0;22689.0;155;45;2538
0;22807.0;745;55;2538
0;22817.0;745;55;null
0;22935.0;155;45;null
0;22945.0;155;45;665
0;23115.0;1005;5;665
0;23125.0;1005;5;null
0;23155.0;855;5;null
0;23165.0;855;5;2630
0;23285.0;255;15;2630
0;23295.0;255;15;null
0;23415.0;855;5;null
0;23425.0;855;5;2612
0;23455.0;1005;5;2612
0;23465.0;1005;5;null
0;23625.0;205;5;null
0;23635.0;205;5;2618
0;23795.0;1005;5;2618
0;23805.0;1005;5;null
0;23877.0;645;5;null
0;23887.0;645;5;2633
0;23959.0;1005;5;2633
0;23969.0;1005;5;null
0;24103.0;335;35;null
0;24113.0;335;35;2267
0;24247.0;1005;5;2267
0;24257.0;1005;5;null
0;24375.0;415;5;null
0;24385.0;415;5;2637
0;24441.0;135;15;2637
0;24451.0;135;15;null
0;24507.0;415;5;null
0;24517.0;415;5;2622
0;24521.0;435;15;2622
0;24531.0;435;15;null
0;24535.0;415;5;null
0;24545.0;415;5;2601
0;24663.0;1005;5;2601
0;24673.0;1005;5;null
0;24773.0;505;5;null
0;24783.0;505;5;2610
0;24861.0;115;15;2610
0;24871.0;115;15;null
0;24949.0;505;5;null
0;24959.0;505;5;2605
0;25059.0;1005;5;2605
0;25069.0;1005;5;null
0;25163.0;535;95;null
0;25173.0;535;95;2318
0;25267.0;1005;5;2318
0;25277.0;1005;5;null
0;25309.0;845;5;null
0;25319.0;845;5;2608
0;25351.0;1005;5;2608
0;25361.0;1005;5;null
0;25435.0;635;5;null
0;25445.0;635;5;2628
0;25519.0;1005;5;2628
0;25529.0;1005;5;null
0;25709.0;105;5;null
0;25719.0;105;5;2137
0;25749.0;255;15;2137
0;25759.0;255;15;null
0;25789.0;105;5;null
0;25799.0;105;5;1229
0;25875.0;485;15;1229
0;25885.0;485;15;null
0;25961.0;105;5;null
0;25971.0;105;5;594
0;26151.0;1005;5;594
0;26161.0;1005;5;null
0;26363.0;-5;5;null
0;26373.0;-5;5;2649
0;26421.0;235;5;2649
0;26431.0;235;5;null
